epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14071,1.08658,4.33502,1.45461,0.04901,0.42787,0.05641,0.05066,0.4639,3.64332,0.9913,0.000109238,0.000109238,0.000109238
2,10.0087,0.94874,3.89176,1.31729,0.43393,0.3652,0.2169,0.18029,0.64336,2.99532,1.07102,0.000215877,0.000215877,0.000215877
3,14.63,1.01372,3.46876,1.36028,0.27101,0.57455,0.41499,0.33927,0.72034,2.29907,1.16773,0.000318121,0.000318121,0.000318121
4,19.1484,1.02225,3.071,1.3629,0.35717,0.58715,0.56544,0.46913,0.71092,1.97426,1.14526,0.00031322,0.00031322,0.00031322
5,23.6901,0.95274,2.70165,1.31836,0.50399,0.58955,0.64746,0.56057,0.60623,1.62779,1.08771,0.000306626,0.000306626,0.000306626
6,28.2287,0.89076,2.45777,1.27157,0.46507,0.66262,0.67595,0.59657,0.50513,1.52869,1.01601,0.000300033,0.000300033,0.000300033
7,32.7702,0.84235,2.19277,1.20917,0.59383,0.66634,0.73796,0.66824,0.5131,1.32905,1.01889,0.00029344,0.00029344,0.00029344
8,37.3025,0.81969,2.05325,1.21334,0.62886,0.73832,0.7837,0.70645,0.51032,1.26642,1.01727,0.000286846,0.000286846,0.000286846
9,41.8596,0.78836,1.89059,1.17141,0.63612,0.78709,0.80764,0.73855,0.47705,1.20116,0.99283,0.000280253,0.000280253,0.000280253
10,46.4118,0.7759,1.80846,1.17139,0.63019,0.82899,0.82122,0.74477,0.47659,1.19448,0.99616,0.000273659,0.000273659,0.000273659
11,50.9511,0.74523,1.68852,1.14822,0.78179,0.78586,0.85554,0.77431,0.49673,0.99658,1.00263,0.000267066,0.000267066,0.000267066
12,55.4678,0.74205,1.63185,1.13874,0.7498,0.81202,0.85822,0.78138,0.47092,1.00147,0.98955,0.000260473,0.000260473,0.000260473
13,60.0146,0.72132,1.54134,1.1372,0.73356,0.85688,0.87495,0.80255,0.48703,0.94063,0.98669,0.000253879,0.000253879,0.000253879
14,64.5657,0.69027,1.4469,1.11048,0.83242,0.85721,0.90497,0.84228,0.44164,0.78969,0.9647,0.000247286,0.000247286,0.000247286
15,69.1147,0.69054,1.40198,1.11159,0.79379,0.79625,0.90889,0.81345,0.5086,0.87978,1.01135,0.000240692,0.000240692,0.000240692
16,73.6255,0.69448,1.35197,1.11653,0.84181,0.83206,0.91646,0.85655,0.41893,0.75332,0.93053,0.000234099,0.000234099,0.000234099
17,78.2455,0.6708,1.33032,1.10102,0.87426,0.8376,0.90528,0.84637,0.40432,0.78524,0.93632,0.000227506,0.000227506,0.000227506
18,82.7929,0.65223,1.24157,1.07988,0.88311,0.83566,0.93311,0.86501,0.41458,0.68391,0.93587,0.000220912,0.000220912,0.000220912
19,87.3326,0.65093,1.20889,1.08467,0.89803,0.84745,0.92501,0.856,0.44367,0.67257,0.95744,0.000214319,0.000214319,0.000214319
20,91.8624,0.65196,1.1851,1.08473,0.89489,0.85151,0.92966,0.86315,0.4318,0.70597,0.95196,0.000207725,0.000207725,0.000207725
