epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67008,1.16397,4.37296,1.515,0,0,0,0,0.43745,3.7904,0.97552,0.00010323,0.00010323,0.00010323
2,9.0096,0.92994,3.90643,1.29716,0.09353,0.75939,0.20899,0.17412,0.55401,3.45592,1.04922,0.000205636,0.000205636,0.000205636
3,12.86,0.98247,3.56253,1.33827,0.62702,0.21035,0.32489,0.25395,0.72835,3.06785,1.20558,0.000303823,0.000303823,0.000303823
4,16.7053,0.97669,3.16417,1.34085,0.34018,0.44257,0.39744,0.33448,0.5934,2.35378,1.05301,0.00031322,0.00031322,0.00031322
5,20.5284,0.96665,2.78699,1.31872,0.39111,0.57655,0.53402,0.43759,0.6559,2.10339,1.11713,0.000306626,0.000306626,0.000306626
6,24.3459,0.90019,2.50212,1.27077,0.48949,0.63484,0.67101,0.57898,0.60042,1.49791,1.08007,0.000300033,0.000300033,0.000300033
7,28.1732,0.82815,2.17012,1.22476,0.53082,0.65089,0.69499,0.58258,0.62161,1.60567,1.07391,0.00029344,0.00029344,0.00029344
8,32.0087,0.81169,2.02754,1.19795,0.63379,0.75997,0.80087,0.70867,0.55127,1.19293,1.08103,0.000286846,0.000286846,0.000286846
9,35.8491,0.77254,1.83788,1.16999,0.61957,0.75255,0.80066,0.72226,0.49526,1.31427,1.01939,0.000280253,0.000280253,0.000280253
10,39.6892,0.7711,1.75527,1.16935,0.74108,0.68471,0.81724,0.74591,0.49279,1.1855,0.99039,0.000273659,0.000273659,0.000273659
11,43.521,0.74434,1.68106,1.1493,0.81613,0.67679,0.84368,0.76701,0.53789,1.21521,1.04121,0.000267066,0.000267066,0.000267066
12,47.3588,0.73043,1.55266,1.13711,0.71931,0.83843,0.85719,0.77696,0.49327,0.99041,1.01117,0.000260473,0.000260473,0.000260473
13,51.1913,0.70595,1.47087,1.11682,0.86256,0.83344,0.89894,0.81632,0.5112,0.82159,1.03713,0.000253879,0.000253879,0.000253879
14,55.0328,0.69264,1.44178,1.12877,0.79927,0.81386,0.88754,0.81425,0.46623,0.90315,0.97388,0.000247286,0.000247286,0.000247286
15,58.8555,0.69466,1.37428,1.12418,0.86856,0.74928,0.90384,0.82899,0.4511,0.87786,0.97127,0.000240692,0.000240692,0.000240692
16,62.6895,0.68773,1.34791,1.10835,0.80339,0.79982,0.90736,0.83698,0.44047,0.81677,0.94371,0.000234099,0.000234099,0.000234099
17,66.5001,0.66337,1.28304,1.08961,0.84621,0.82888,0.91026,0.82399,0.48578,0.84678,0.99869,0.000227506,0.000227506,0.000227506
18,70.3235,0.65024,1.23614,1.09261,0.7879,0.83206,0.8963,0.83374,0.43484,0.83572,0.93832,0.000220912,0.000220912,0.000220912
19,74.1651,0.62492,1.18847,1.07219,0.85937,0.80244,0.9,0.83081,0.4491,0.82214,0.96573,0.000214319,0.000214319,0.000214319
20,77.9782,0.62858,1.15186,1.05697,0.86666,0.8498,0.93262,0.87041,0.42189,0.6369,0.94087,0.000207725,0.000207725,0.000207725
